,awayline,awayodds,awayteam,date,gameID,homeline,homeodds,hometeam,round,time
0,-16.5,1.42,Carlton,2010-03-25,5089,16.5,2.89,Richmond,1,7:10PM
1,28.5,4.5,Essendon,2010-03-26,5090,-28.5,1.21,Geelong,1,7:40PM
2,-31.5,1.18,Hawthorn,2010-03-27,5091,31.5,4.95,Melbourne,1,2:10PM
3,21.5,3.42,West Coast,2010-03-27,5092,-21.5,1.32,Brisbane,1,7:30PM
4,-14.5,1.49,St Kilda,2010-03-27,5093,14.5,2.64,Sydney,1,7:10PM
5,16.5,2.89,North Melbourne,2010-03-28,5094,-16.5,1.42,Port Adelaide,1,12:40PM
6,8.5,2.31,Collingwood,2010-03-28,5095,-8.5,1.62,Western Bulldogs,1,2:10PM
7,-1.5,1.85,Adelaide,2010-03-28,5096,1.5,1.96,Fremantle,1,5:10PM
8,-31.5,1.17,Collingwood,2010-07-09,5097,31.5,5.17,Port Adelaide,15,8:10PM
9,-15.5,1.45,Adelaide,2010-07-10,5098,15.5,2.77,West Coast,15,1:10PM
10,19.5,3.29,Hawthorn,2010-07-10,5099,-19.5,1.34,Geelong,15,2:10PM
11,-25.5,1.24,St Kilda,2010-07-10,5100,25.5,4.14,Brisbane,15,7:10PM
12,-14.5,1.5,Fremantle,2010-07-10,5101,14.5,2.62,Richmond,15,7:10PM
13,16.5,2.77,North Melbourne,2010-07-11,5102,-16.5,1.45,Sydney,15,1:10PM
14,1.5,1.95,Essendon,2010-07-11,5103,-1.5,1.87,Melbourne,15,2:10PM
15,-13.5,1.5,Western Bulldogs,2010-07-11,5104,13.5,2.61,Carlton,15,4:40PM
16,-2.5,1.8,Carlton,2010-08-06,5105,2.5,2.02,Essendon,19,7:40PM
17,2.5,1.99,Fremantle,2010-08-07,5106,-2.5,1.83,North Melbourne,19,2:10PM
18,-5.5,1.75,Hawthorn,2010-08-07,5107,5.5,2.09,Sydney,19,2:10PM
19,8.5,2.31,Brisbane,2010-08-07,5108,-8.5,1.64,West Coast,19,5:40PM
20,3.5,2.05,Collingwood,2010-08-07,5109,-3.5,1.8,Geelong,19,7:10PM
21,29.5,4.6,Port Adelaide,2010-08-08,5110,-29.5,1.2,St Kilda,19,1:10PM
22,13.5,2.58,Richmond,2010-08-08,5111,-13.5,1.51,Melbourne,19,2:10PM
23,-21.5,1.32,Western Bulldogs,2010-08-08,5112,21.5,3.42,Adelaide,19,4:10PM
24,4.5,2.09,St Kilda,2010-04-30,5113,-4.5,1.75,Western Bulldogs,6,7:40PM
25,-3.5,1.77,Melbourne,2010-05-01,5114,3.5,2.06,North Melbourne,6,2:10PM
26,-12.5,1.52,Port Adelaide,2010-05-01,5115,12.5,2.55,Adelaide,6,2:40PM
27,-14.5,1.49,Hawthorn,2010-05-01,5116,14.5,2.65,Essendon,6,7:10PM
28,12.5,2.56,Brisbane,2010-05-01,5117,-12.5,1.52,Sydney,6,7:10PM
29,60.5,12.6,Richmond,2010-05-02,5118,-60.5,1.03,Geelong,6,1:10PM
30,-13.5,1.51,Collingwood,2010-05-02,5119,13.5,2.58,Carlton,6,2:10PM
31,-17.5,1.4,Fremantle,2010-05-02,5120,17.5,2.99,West Coast,6,2:40PM
32,-24.5,1.25,Geelong,2010-07-16,5121,24.5,4.03,Adelaide,16,8:10PM
33,-5.5,1.74,St Kilda,2010-07-17,5122,5.5,2.1,Collingwood,16,2:10PM
34,23.5,3.66,Brisbane,2010-07-17,5123,-23.5,1.29,Hawthorn,16,2:10PM
35,17.5,3.0,West Coast,2010-07-17,5124,-17.5,1.4,Essendon,16,7:10PM
36,31.5,5.17,Port Adelaide,2010-07-17,5125,-31.5,1.17,Western Bulldogs,16,7:10PM
37,10.5,2.37,Sydney,2010-07-18,5126,-10.5,1.59,Carlton,16,1:10PM
38,2.5,2.02,North Melbourne,2010-07-18,5127,-2.5,1.8,Richmond,16,2:10PM
39,29.5,4.62,Melbourne,2010-07-18,5128,-29.5,1.2,Fremantle,16,2:40PM
40,-12.5,1.55,St Kilda,2010-08-28,5129,12.5,2.47,Adelaide,22,3:40PM
41,-19.5,1.37,Sydney,2010-08-28,5130,19.5,3.19,Brisbane,22,7:10PM
42,11.5,2.51,Carlton,2010-08-27,5131,-11.5,1.55,Fremantle,22,6:40PM
43,71.5,16.5,West Coast,2010-08-28,5132,-71.5,1.01,Geelong,22,1:10PM
44,-13.5,1.5,Collingwood,2010-08-28,5133,13.5,2.61,Hawthorn,22,2:10PM
45,-1.5,1.89,North Melbourne,2010-08-29,5134,1.5,1.95,Melbourne,22,4:40PM
46,8.5,2.25,Port Adelaide,2010-08-29,5135,-8.5,1.65,Richmond,22,2:10PM
47,29.5,4.75,Essendon,2010-08-28,5136,-29.5,1.2,Western Bulldogs,22,7:10PM
48,18.5,3.2,St Kilda,2010-09-03,5137,-18.5,1.36,Geelong,Final,7:45PM
49,-6.5,1.67,Hawthorn,2010-09-04,5138,6.5,2.23,Fremantle,Final,1:20PM
50,24.5,4.11,Western Bulldogs,2010-09-04,5139,-24.5,1.25,Collingwood,Final,7:20PM
51,15.5,2.79,Carlton,2010-09-05,5140,-15.5,1.46,Sydney,Final,2:40PM
52,38.5,6.45,Fremantle,2010-09-10,5141,-38.5,1.12,Geelong,Final,7:45PM
53,-1.5,1.86,Sydney,2010-09-11,5142,1.5,1.97,Western Bulldogs,Final,7:20PM
54,2.5,1.97,Geelong,2010-09-17,5143,-2.5,1.85,Collingwood,Final,7:45PM
55,29.5,4.7,Western Bulldogs,2010-09-18,5144,-29.5,1.2,St Kilda,Final,7:20PM
56,16.5,2.97,St Kilda,2010-09-25,5145,-16.5,1.41,Collingwood,Final,2:30PM
57,9.5,2.38,St Kilda,2010-10-02,5146,-9.5,1.61,Collingwood,Final,2:30PM
58,19.5,3.45,Richmond,2011-03-24,5147,-19.5,1.36,Carlton,1,7:10PM
59,-6.5,1.72,St Kilda,2011-03-25,5148,6.5,2.24,Geelong,1,7:40PM
60,46.5,11.0,Port Adelaide,2011-03-26,5149,-46.5,1.07,Collingwood,1,2:10PM
61,0.0,1.9,Fremantle,2011-03-26,5150,0.0,2.0,Brisbane,1,7:10PM
62,0.0,1.94,Hawthorn,2011-03-26,5151,0.0,1.96,Adelaide,1,7:10PM
63,-9.5,1.64,Western Bulldogs,2011-03-27,5152,9.5,2.4,Essendon,1,1:10PM
64,3.5,2.1,Sydney,2011-03-27,5153,-3.5,1.82,Melbourne,1,2:10PM
65,7.5,2.38,North Melbourne,2011-03-27,5154,-7.5,1.65,West Coast,1,4:10PM
66,25.5,4.0,Richmond,2011-04-01,5155,-25.5,1.25,St Kilda,2,7:40PM
67,-38.5,1.11,Collingwood,2011-04-02,5156,38.5,6.7,North Melbourne,2,2:10PM
68,15.5,2.85,West Coast,2011-04-02,5157,-15.5,1.45,Port Adelaide,2,2:40PM
69,-27.5,1.27,Carlton,2011-04-02,5158,27.5,3.95,Gold Coast,2,6:40PM
70,6.5,2.21,Geelong,2011-04-02,5159,-6.5,1.7,Fremantle,2,5:40PM
71,38.5,6.35,Brisbane,2011-04-03,5160,-38.5,1.12,Western Bulldogs,2,1:10PM
72,3.5,2.02,Essendon,2011-04-03,5161,-3.5,1.8,Sydney,2,2:10PM
73,16.5,2.93,Melbourne,2011-04-03,5162,-16.5,1.41,Hawthorn,2,4:40PM
74,25.5,4.15,Carlton,2011-04-08,5163,-25.5,1.25,Collingwood,3,7:40PM
75,70.5,16.0,Gold Coast,2011-04-09,5164,-70.5,1.01,Western Bulldogs,3,2:10PM
76,13.5,2.63,Fremantle,2011-04-09,5165,-13.5,1.49,Adelaide,3,2:40PM
77,-23.5,1.29,Hawthorn,2011-04-09,5166,23.5,3.75,Richmond,3,7:10PM
78,0.0,1.9,Sydney,2011-04-09,5167,0.0,1.94,West Coast,3,5:40PM
79,31.5,4.75,Brisbane,2011-04-10,5168,-31.5,1.19,Melbourne,3,1:10PM
80,45.5,8.0,Port Adelaide,2011-04-10,5169,-45.5,1.08,Geelong,3,2:10PM
81,2.5,2.0,Essendon,2011-04-10,5170,-2.5,1.82,St Kilda,3,4:40PM
82,-47.5,1.07,Collingwood,2011-04-15,5171,47.5,8.6,Richmond,4,7:40PM
83,39.5,6.3,West Coast,2011-04-16,5172,-39.5,1.12,Hawthorn,4,2:10PM
84,0.0,1.93,Essendon,2011-04-16,5173,0.0,1.89,Carlton,4,2:10PM
85,-3.5,1.78,Geelong,2011-04-16,5174,3.5,2.09,Sydney,4,7:10PM
86,-15.5,1.42,Adelaide,2011-04-16,5175,15.5,2.95,Port Adelaide,4,7:10PM
87,-45.5,1.08,Melbourne,2011-04-17,5176,45.5,8.0,Gold Coast,4,2:10PM
88,32.5,5.1,North Melbourne,2011-04-17,5177,-32.5,1.17,Fremantle,4,2:40PM
89,-22.5,1.3,St Kilda,2011-04-21,5178,22.5,3.55,Brisbane,5,7:40PM
90,64.5,14.4,Gold Coast,2011-04-23,5179,-64.5,1.03,Port Adelaide,5,2:40PM
91,25.5,3.95,Adelaide,2011-04-23,5180,-25.5,1.27,Carlton,5,7:10PM
92,1.5,1.93,Richmond,2011-04-24,5181,-1.5,1.88,North Melbourne,5,4:40PM
93,-27.5,1.22,Collingwood,2011-04-25,5182,27.5,4.3,Essendon,5,2:40PM
94,8.5,2.3,Western Bulldogs,2011-04-25,5183,-8.5,1.65,Fremantle,5,6:40PM
95,-3.5,1.8,Geelong,2011-04-26,5184,3.5,2.02,Hawthorn,5,2:40PM
96,11.5,2.7,Melbourne,2011-04-28,5185,-11.5,1.49,West Coast,6,6:40PM
97,4.5,2.07,Carlton,2011-04-29,5186,-4.5,1.76,Sydney,6,7:40PM
98,16.5,2.8,Port Adelaide,2011-04-30,5187,-16.5,1.44,North Melbourne,6,2:10PM
99,17.5,3.17,Brisbane,2011-04-30,5188,-17.5,1.38,Richmond,6,7:10PM
100,4.5,2.1,St Kilda,2011-04-30,5189,-4.5,1.77,Adelaide,6,7:10PM
101,66.5,12.5,Gold Coast,2011-05-01,5190,-66.5,1.03,Essendon,6,1:10PM
102,36.5,8.1,Western Bulldogs,2011-05-01,5191,-36.5,1.09,Collingwood,6,4:40PM
103,-24.5,1.18,Hawthorn,2011-05-06,5192,24.5,5.15,Port Adelaide,7,8:10PM
104,5.5,2.18,Sydney,2011-05-07,5193,-5.5,1.69,Western Bulldogs,7,1:10PM
105,46.5,9.25,North Melbourne,2011-05-07,5194,-46.5,1.06,Geelong,7,2:10PM
106,-6.5,1.67,Fremantle,2011-05-07,5195,6.5,2.21,Richmond,7,4:10PM
107,-47.5,1.15,Brisbane,2011-05-07,5196,47.5,5.85,Gold Coast,7,7:10PM
108,30.5,4.32,West Coast,2011-05-08,5197,-30.5,1.22,Essendon,7,1:10PM
109,2.5,1.96,Adelaide,2011-05-08,5198,-2.5,1.85,Melbourne,7,2:10PM
110,-15.5,1.45,Carlton,2011-05-09,5199,15.5,2.77,St Kilda,7,7:20PM
111,-13.5,1.49,Collingwood,2011-05-13,5200,13.5,2.65,Geelong,8,7:40PM
