,awayline,awayodds,awayteam,crowd,date,day,gameID,homeline,homeodds,hometeam,round,time,venue,year
0,-16.5,1.42,Carlton,72010,25/3/10,Thursday,5089,16.5,2.89,Richmond,1,7:10PM,MCG,2010
1,28.5,4.5,Essendon,57772,26/3/10,Friday,5090,-28.5,1.21,Geelong,1,7:40PM,MCG,2010
2,-31.5,1.18,Hawthorn,45615,27/3/10,Saturday,5091,31.5,4.95,Melbourne,1,2:10PM,MCG,2010
3,21.5,3.42,West Coast,29201,27/3/10,Saturday,5092,-21.5,1.32,Brisbane,1,7:30PM,Gabba,2010
4,-14.5,1.49,St Kilda,31330,27/3/10,Saturday,5093,14.5,2.64,Sydney,1,7:10PM,ANZ Stadium,2010
5,16.5,2.89,North Melbourne,21205,28/3/10,Sunday,5094,-16.5,1.42,Port Adelaide,1,12:40PM,AAMI Stadium,2010
6,8.5,2.31,Collingwood,49000,28/3/10,Sunday,5095,-8.5,1.62,Western Bulldogs,1,2:10PM,Etihad Stadium,2010
7,-1.5,1.85,Adelaide,30976,28/3/10,Sunday,5096,1.5,1.96,Fremantle,1,5:10PM,Domain Stadium,2010
8,-31.5,1.17,Collingwood,24260,9/7/10,Friday,5097,31.5,5.17,Port Adelaide,15,8:10PM,AAMI Stadium,2010
9,-15.5,1.45,Adelaide,26976,10/7/10,Saturday,5098,15.5,2.77,West Coast,15,1:10PM,Domain Stadium,2010
10,19.5,3.29,Hawthorn,69220,10/7/10,Saturday,5099,-19.5,1.34,Geelong,15,2:10PM,MCG,2010
11,-25.5,1.24,St Kilda,29329,10/7/10,Saturday,5100,25.5,4.14,Brisbane,15,7:10PM,Gabba,2010
12,-14.5,1.5,Fremantle,25707,10/7/10,Saturday,5101,14.5,2.62,Richmond,15,7:10PM,Etihad Stadium,2010
13,16.5,2.77,North Melbourne,23856,11/7/10,Sunday,5102,-16.5,1.45,Sydney,15,1:10PM,SCG,2010
14,1.5,1.95,Essendon,49203,11/7/10,Sunday,5103,-1.5,1.87,Melbourne,15,2:10PM,MCG,2010
15,-13.5,1.5,Western Bulldogs,37517,11/7/10,Sunday,5104,13.5,2.61,Carlton,15,4:40PM,Etihad Stadium,2010
16,-2.5,1.8,Carlton,57095,6/8/10,Friday,5105,2.5,2.02,Essendon,19,7:40PM,MCG,2010
17,2.5,1.99,Fremantle,14891,7/8/10,Saturday,5106,-2.5,1.83,North Melbourne,19,2:10PM,Etihad Stadium,2010
18,-5.5,1.75,Hawthorn,29431,7/8/10,Saturday,5107,5.5,2.09,Sydney,19,2:10PM,SCG,2010
19,8.5,2.31,Brisbane,32587,7/8/10,Saturday,5108,-8.5,1.64,West Coast,19,5:40PM,Domain Stadium,2010
20,3.5,2.05,Collingwood,84401,7/8/10,Saturday,5109,-3.5,1.8,Geelong,19,7:10PM,MCG,2010
21,29.5,4.6,Port Adelaide,22467,8/8/10,Sunday,5110,-29.5,1.2,St Kilda,19,1:10PM,Etihad Stadium,2010
22,13.5,2.58,Richmond,45844,8/8/10,Sunday,5111,-13.5,1.51,Melbourne,19,2:10PM,MCG,2010
23,-21.5,1.32,Western Bulldogs,29321,8/8/10,Sunday,5112,21.5,3.42,Adelaide,19,4:10PM,AAMI Stadium,2010
24,4.5,2.09,St Kilda,43072,30/4/10,Friday,5113,-4.5,1.75,Western Bulldogs,6,7:40PM,Etihad Stadium,2010
25,-3.5,1.77,Melbourne,26763,1/5/10,Saturday,5114,3.5,2.06,North Melbourne,6,2:10PM,Etihad Stadium,2010
26,-12.5,1.52,Port Adelaide,40371,1/5/10,Saturday,5115,12.5,2.55,Adelaide,6,2:40PM,AAMI Stadium,2010
27,-14.5,1.49,Hawthorn,61006,1/5/10,Saturday,5116,14.5,2.65,Essendon,6,7:10PM,MCG,2010
28,12.5,2.56,Brisbane,30975,1/5/10,Saturday,5117,-12.5,1.52,Sydney,6,7:10PM,SCG,2010
29,60.5,12.6,Richmond,24106,2/5/10,Sunday,5118,-60.5,1.03,Geelong,6,1:10PM,Simonds Stadium,2010
30,-13.5,1.51,Collingwood,80645,2/5/10,Sunday,5119,13.5,2.58,Carlton,6,2:10PM,MCG,2010
31,-17.5,1.4,Fremantle,40886,2/5/10,Sunday,5120,17.5,2.99,West Coast,6,2:40PM,Domain Stadium,2010
32,-24.5,1.25,Geelong,41195,16/7/10,Friday,5121,24.5,4.03,Adelaide,16,8:10PM,AAMI Stadium,2010
33,-5.5,1.74,St Kilda,81386,17/7/10,Saturday,5122,5.5,2.1,Collingwood,16,2:10PM,MCG,2010
34,23.5,3.66,Brisbane,16690,17/7/10,Saturday,5123,-23.5,1.29,Hawthorn,16,2:10PM,Aurora Stadium,2010
35,17.5,3,West Coast,26991,17/7/10,Saturday,5124,-17.5,1.4,Essendon,16,7:10PM,Etihad Stadium,2010
36,31.5,5.17,Port Adelaide,10108,17/7/10,Saturday,5125,-31.5,1.17,Western Bulldogs,16,7:10PM,TIO Stadium,2010
37,10.5,2.37,Sydney,31915,18/7/10,Sunday,5126,-10.5,1.59,Carlton,16,1:10PM,Etihad Stadium,2010
38,2.5,2.02,North Melbourne,42723,18/7/10,Sunday,5127,-2.5,1.8,Richmond,16,2:10PM,MCG,2010
39,29.5,4.62,Melbourne,32816,18/7/10,Sunday,5128,-29.5,1.2,Fremantle,16,2:40PM,Domain Stadium,2010
40,-12.5,1.55,St Kilda,38121,28/8/10,Saturday,5129,12.5,2.47,Adelaide,22,3:40PM,AAMI Stadium,2010
41,-19.5,1.37,Sydney,24789,28/8/10,Saturday,5130,19.5,3.19,Brisbane,22,7:10PM,Gabba,2010
42,11.5,2.51,Carlton,39376,27/8/10,Friday,5131,-11.5,1.55,Fremantle,22,6:40PM,Domain Stadium,2010
43,71.5,16.5,West Coast,24099,28/8/10,Saturday,5132,-71.5,1.01,Geelong,22,1:10PM,Simonds Stadium,2010
44,-13.5,1.5,Collingwood,76218,28/8/10,Saturday,5133,13.5,2.61,Hawthorn,22,2:10PM,MCG,2010
45,-1.5,1.89,North Melbourne,31064,29/8/10,Sunday,5134,1.5,1.95,Melbourne,22,4:40PM,MCG,2010
46,8.5,2.25,Port Adelaide,37674,29/8/10,Sunday,5135,-8.5,1.65,Richmond,22,2:10PM,Etihad Stadium,2010
47,29.5,4.75,Essendon,26776,28/8/10,Saturday,5136,-29.5,1.2,Western Bulldogs,22,7:10PM,Etihad Stadium,2010
48,11.5,2.61,Western Bulldogs,99981,1/10/16,Saturday,9306,-11.5,1.57,Sydney,Grand,2:30PM,MCG,2016
49,20.5,3.16,Western Bulldogs,21790,24/9/16,Saturday,9305,-20.5,1.39,GWS,Preliminary,7:15PM,Spotless Stadium,2016
50,8.5,2.36,Sydney,71772,23/9/16,Friday,9304,-8.5,1.66,Geelong,Preliminary,7:50PM,MCG,2016
51,9.5,2.46,Adelaide,38136,17/9/16,Saturday,9303,-9.5,1.61,Sydney,Semi,7:25PM,SCG,2016
52,9.5,2.56,Western Bulldogs,87823,16/9/16,Friday,9302,-9.5,1.57,Hawthorn,Semi,7:50PM,MCG,2016
53,11.5,2.66,GWS,60222,10/9/16,Saturday,9300,-11.5,1.54,Sydney,Qualifying,3:20PM,ANZ Stadium,2016
54,39.5,5.9,North Melbourne,49007,10/9/16,Saturday,9301,-39.5,1.16,Adelaide,Elimination,7:10PM,Adelaide Oval,2016
55,8.5,2.31,Hawthorn,87533,9/9/16,Friday,9299,-8.5,1.66,Geelong,Qualifying,7:50PM,MCG,2016
56,23.5,4.05,Western Bulldogs,42079,8/9/16,Thursday,9298,-23.5,1.29,West Coast,Elimination,6:10PM,Domain Stadium,2016
