,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
0,77,85,0,24,0,2,5089,0,10,0,Home,2,14,3,Daniel Connors,1
1,85,89,0,23,0,2,5089,0,12,0,Home,8,11,2,Daniel Jackson,5
2,94,93,0,21,2,1,5089,1,9,0,Home,4,12,5,Brett Deledio,6
3,65,70,0,19,0,1,5089,1,6,0,Home,1,13,1,Ben Cousins,1
4,65,63,0,19,2,0,5089,0,8,0,Home,2,11,6,Trent Cotchin,1
5,62,72,0,18,1,0,5089,0,13,0,Home,2,5,4,Dustin Martin,3
6,56,79,0,17,0,1,5089,0,10,0,Home,1,7,2,Shane Edwards,2
7,77,73,1,14,0,4,5089,1,5,0,Home,5,9,3,Adam Thomson,5
8,61,68,0,13,0,1,5089,0,7,0,Home,0,6,4,Luke McGuane,4
9,56,59,0,13,0,1,5089,0,6,0,Home,3,7,2,Robin Nahas,4
10,76,94,1,12,1,2,5089,0,5,0,Home,0,7,3,Richard Tambling,9
11,71,68,2,12,2,1,5089,2,1,0,Home,6,11,5,Jack Riewoldt,3
12,37,16,1,11,1,0,5089,0,4,0,Home,1,7,2,Chris Newman,1
13,49,48,0,11,3,1,5089,1,7,0,Home,0,4,3,Tom Hislop,4
14,33,43,0,11,0,0,5089,0,3,0,Home,0,8,1,Mitch Farmer,0
15,41,46,0,10,1,1,5089,0,4,0,Home,1,6,3,Kelvin Moore,2
16,49,34,0,10,0,0,5089,1,3,0,Home,3,7,4,Ben Nason,1
17,41,50,0,9,2,1,5089,0,6,19,Home,2,3,2,Troy Simmonds,0
18,37,63,0,9,0,1,5089,0,5,0,Home,0,4,2,Will Thursfield,2
19,52,58,2,7,0,1,5089,2,1,0,Home,2,6,3,Mitch Morton,2
20,38,15,1,7,1,0,5089,0,0,0,Home,2,7,5,Relton Roberts,1
21,28,35,0,5,1,2,5089,0,4,7,Home,0,1,1,Tyrone Vickery,2
22,131,135,0,40,1,2,5089,0,19,0,Away,8,21,5,Andrew Carrazzo,4
23,124,99,0,32,0,1,5089,0,14,0,Away,6,18,11,Heath Scotland,2
24,119,119,0,28,1,0,5089,1,13,1,Away,6,15,8,Kade Simpson,5
25,99,114,0,26,0,1,5089,0,10,0,Away,2,16,6,Ryan Houlihan,3
26,93,121,0,26,3,1,5089,1,20,0,Away,3,6,7,Brock McLean,4
27,101,110,0,26,1,1,5089,0,10,0,Away,1,16,9,Jordan Russell,2
28,118,130,0,25,0,0,5089,0,10,0,Away,1,15,11,Paul Bower,5
29,93,119,0,24,1,1,5089,2,11,0,Away,7,13,2,Marc Murphy,4
30,106,112,1,23,1,1,5089,2,8,0,Away,1,15,6,Bryce Gibbs,4
31,90,72,0,20,0,0,5089,0,7,0,Away,0,13,11,Bret Thornton,1
32,110,136,3,19,0,0,5089,3,10,0,Away,0,9,6,Eddie Betts,6
33,74,70,0,18,1,1,5089,0,6,0,Away,6,12,4,Andrew Walker,4
34,88,89,1,17,2,0,5089,2,4,0,Away,3,13,10,Jarrad Waite,1
35,85,47,0,16,1,2,5089,0,7,18,Away,2,9,5,Robert Warnock,3
36,64,64,0,16,1,0,5089,0,9,0,Away,0,7,4,Joe Anderson,4
37,89,118,0,16,0,4,5089,0,13,25,Away,1,3,3,Matthew Kreuzer,4
38,78,72,0,13,3,2,5089,0,8,0,Away,1,5,6,Mitch Robinson,9
39,78,75,2,12,2,0,5089,3,1,0,Away,4,11,7,Setanta O'hAilpin,2
40,76,74,0,11,2,0,5089,3,2,0,Away,2,9,3,Christopher Yarran,6
41,45,30,0,10,2,0,5089,0,2,0,Away,1,8,5,Aaron Joseph,2
42,49,50,1,8,0,1,5089,1,3,0,Away,2,5,4,Lachlan Henderson,2
43,28,30,0,6,1,0,5089,0,0,0,Away,0,6,3,Michael Jamison,1
44,129,127,2,37,1,0,5090,2,24,0,Home,5,13,5,Gary Jnr Ablett,4
45,87,104,0,29,4,0,5090,1,17,0,Home,2,12,1,Cameron Ling,5
46,114,124,0,29,1,2,5090,2,19,1,Home,4,10,6,Jimmy Bartel,4
47,105,94,0,27,1,0,5090,0,11,0,Home,7,16,6,Paul Chapman,5
48,80,61,0,27,2,0,5090,0,13,0,Home,5,14,2,Joel Corey,3
49,90,108,0,27,2,1,5090,0,16,0,Home,0,11,6,Corey Enright,3
50,141,131,4,26,0,0,5090,3,13,0,Home,3,13,10,Shannon Byrnes,6
51,96,90,1,25,0,2,5090,2,10,0,Home,6,15,4,Steve Johnson,1
52,107,131,0,23,0,0,5090,1,17,1,Home,3,6,4,Joel Selwood,9
53,106,62,0,21,1,1,5090,2,10,0,Home,2,11,5,James Kelly,7
54,79,72,0,20,1,0,5090,0,9,0,Home,6,11,5,Andrew Mackie,4
55,69,82,0,19,0,1,5090,0,9,0,Home,1,10,4,Darren Milburn,2
56,58,77,0,17,0,1,5090,0,9,0,Home,0,8,5,Tom Lonergan,0
57,50,54,0,15,1,1,5090,0,10,0,Home,0,5,3,Matthew Scarlett,2
58,43,43,0,15,2,1,5090,0,7,0,Home,3,8,2,David Wojcinski,1
59,46,81,0,15,0,0,5090,0,8,0,Home,0,7,3,Josh Hunt,0
60,77,77,1,14,2,0,5090,2,6,1,Home,2,8,7,Tom Hawkins,3
61,68,70,1,12,1,0,5090,3,2,0,Home,3,10,6,Cameron Mooney,0
62,57,65,0,12,0,1,5090,0,5,0,Home,0,7,3,Harry Taylor,4
63,79,58,0,11,3,1,5090,1,6,26,Home,1,5,4,Brad Ottens,4
64,51,36,0,10,2,1,5090,0,4,0,Home,1,6,2,Mitchell Duncan,6
65,42,28,0,5,1,0,5090,0,5,25,Home,0,0,2,Mark Blake,1
66,145,133,1,33,0,1,5090,1,15,0,Away,6,18,7,Brent Stanton,8
67,75,81,1,22,1,1,5090,0,13,0,Away,1,9,1,Andrew Welsh,5
68,98,82,1,22,0,0,5090,0,7,0,Away,2,15,2,Brent Prismall,8
69,82,99,2,19,0,1,5090,2,9,0,Away,4,10,5,David Zaharakis,1
70,76,74,0,18,0,3,5090,2,8,0,Away,3,10,1,Jobe Watson,3
71,61,53,1,17,0,0,5090,0,11,5,Away,2,6,5,David Hille,0
72,58,53,0,17,1,2,5090,0,9,0,Away,1,8,3,Jason Winderlich,2
73,84,93,1,17,0,1,5090,0,9,0,Away,1,8,4,Heath Hocking,7
74,68,86,0,17,0,0,5090,0,9,0,Away,1,8,2,Cale Hooker,5
75,64,95,0,16,1,1,5090,1,5,1,Away,3,11,4,Dustin Fletcher,1
76,82,86,1,16,1,3,5090,2,6,0,Away,1,10,5,Angus Monfries,3
77,68,54,0,16,2,1,5090,0,5,0,Away,3,11,6,Courtenay Dempsey,3
78,66,64,1,16,1,2,5090,0,5,0,Away,0,11,5,Tayte Pears,2
79,74,62,0,16,0,1,5090,1,2,0,Away,4,14,3,Ben Howlett,3
80,72,37,0,14,0,0,5090,0,4,0,Away,3,10,6,Rick Dyson,4
81,80,92,0,14,0,1,5090,1,4,0,Away,3,10,5,Kyle Reimers,5
82,60,66,0,11,1,1,5090,0,5,0,Away,1,6,2,Henry Slattery,7
83,69,64,1,11,0,2,5090,0,6,24,Away,1,5,1,Patrick Ryder,3
84,37,45,1,10,2,0,5090,2,4,0,Away,1,6,0,Alwyn Davey,1
85,42,50,0,9,2,2,5090,1,4,0,Away,2,5,3,Jay Neagle,2
86,25,36,0,8,1,1,5090,0,3,0,Away,3,5,2,Mark Williams,0
87,17,18,0,3,0,1,5090,0,1,1,Away,2,2,1,Scott Gumbleton,1
88,88,82,0,23,0,0,5091,0,16,0,Home,1,7,9,Cameron Bruce,2
89,86,99,0,23,0,0,5091,0,12,0,Home,0,11,7,James Frawley,2
90,65,46,0,23,1,1,5091,0,16,0,Home,5,7,2,Jack Trengove,2
91,86,90,1,22,2,0,5091,0,8,0,Home,7,14,3,Brent Moloney,6
92,99,100,0,21,2,5,5091,0,6,0,Home,3,15,1,James McDonald,10
93,63,61,1,21,3,1,5091,0,9,1,Home,2,12,5,Joel Macdonald,0
94,93,85,0,21,1,2,5091,0,8,0,Home,0,13,5,Jack Grimes,6
95,61,66,0,20,0,1,5091,0,11,1,Home,1,9,2,Tom Scully,1
96,59,76,2,18,0,0,5091,0,12,0,Home,1,6,1,Nathan Jones,3
97,57,82,0,17,3,2,5091,0,12,0,Home,1,5,3,Jared Rivers,4
98,69,62,2,17,0,1,5091,0,6,0,Home,4,11,3,Aaron Davey,3
99,87,74,1,16,0,0,5091,0,8,0,Home,3,8,6,Lynden Dunn,7
100,60,43,0,15,0,0,5091,0,8,0,Home,3,7,5,Matthew Bate,2
101,105,99,0,15,0,4,5091,1,6,0,Home,4,9,4,Jordie McKenzie,11
102,88,81,2,14,0,1,5091,2,5,0,Home,3,9,4,Brad Green,6
103,58,49,0,13,0,1,5091,0,7,0,Home,2,6,3,Jamie Bennell,4
104,79,103,0,11,2,1,5091,1,6,27,Home,0,5,4,Mark Jamar,3
105,33,63,0,11,1,0,5091,0,8,0,Home,0,3,1,Matthew Warnock,2
106,80,68,2,10,1,2,5091,2,1,0,Home,2,9,6,Ricky Petterd,5
107,45,23,0,9,2,1,5091,2,6,0,Home,1,3,3,Brad Miller,2
108,46,14,0,9,0,0,5091,0,4,0,Home,0,5,5,James Strauss,2
109,9,4,0,2,2,0,5091,0,1,7,Home,1,1,1,Jake Spencer,0
110,142,121,2,34,3,3,5091,1,9,0,Away,6,25,9,Luke Hodge,5
111,112,107,0,27,1,2,5091,1,12,0,Away,4,15,6,Sam Mitchell,5
112,109,108,1,27,2,2,5091,0,8,0,Away,6,19,9,Jordan Lewis,3
113,106,90,1,27,1,0,5091,0,12,3,Away,3,15,8,Grant Birchall,3
114,83,99,0,22,0,1,5091,0,10,0,Away,2,12,6,Josh Gibson,2
115,84,85,1,22,0,1,5091,0,9,0,Away,1,13,7,Matthew Suckling,1
116,86,91,1,21,0,0,5091,1,6,0,Away,4,15,2,Rick Ladson,4
117,86,92,0,21,0,1,5091,0,10,0,Away,0,11,8,Thomas Murphy,2
118,84,99,0,21,1,0,5091,0,12,1,Away,0,9,5,Xavier Ellis,5
119,94,66,0,20,1,0,5091,0,4,1,Away,3,16,8,Ryan Schoenmakers,4
120,79,83,0,17,1,1,5091,1,9,3,Away,3,8,6,Jarryd Morton,3
121,67,71,0,17,1,4,5091,1,9,0,Away,5,8,6,Carl Peterson,0
122,65,54,0,17,1,0,5091,0,9,0,Away,3,8,6,Jarrod K-Thomson,2
123,80,81,0,16,0,0,5091,2,2,0,Away,4,14,6,Garry Moss,1
124,62,79,0,15,1,1,5091,0,3,0,Away,4,12,2,Brent Guerra,4
125,81,73,1,15,0,1,5091,0,6,0,Away,1,9,8,Stephen Gilham,4
126,70,65,0,15,2,0,5091,0,9,0,Away,4,6,4,Liam Shiels,7
127,91,79,5,14,0,1,5091,3,4,0,Away,0,10,7,Jarryd Roughead,2
128,87,73,0,14,1,1,5091,2,7,0,Away,2,7,6,Rhan Hooper,6
129,94,110,0,12,1,0,5091,3,4,0,Away,3,8,5,Campbell Brown,8
130,47,37,1,10,5,0,5091,2,4,0,Away,3,6,5,Michael Osborne,2
131,54,66,0,9,1,1,5091,0,8,17,Away,1,1,4,Brent Renouf,2
132,121,125,0,31,0,2,5092,1,16,2,Home,3,15,2,Jared Brennan,7
133,114,147,0,28,0,2,5092,0,18,0,Home,6,10,6,Michael Rischitelli,7
134,74,96,1,27,1,1,5092,0,16,0,Home,3,11,2,Simon Black,1
135,89,97,0,24,0,3,5092,1,7,0,Home,2,17,5,Josh Drummond,0
136,92,97,0,23,0,0,5092,0,12,0,Home,2,11,5,Travis Johnstone,5
137,96,78,1,23,1,0,5092,1,6,0,Home,10,17,3,Justin Sherman,5
138,138,130,2,22,0,0,5092,5,6,0,Home,5,16,14,Jonathan Brown,1
139,95,132,0,20,1,0,5092,3,10,0,Home,3,10,2,Luke Power,6
140,106,58,7,18,3,0,5092,3,2,0,Home,1,16,10,Brendan Fevola,2
141,52,54,1,18,1,0,5092,0,12,1,Home,2,6,1,Daniel Rich,2
142,75,73,1,18,1,2,5092,0,12,0,Home,5,6,3,Jack Redden,6
143,82,50,0,17,0,1,5092,1,6,0,Home,5,11,6,Todd Banfield,3
144,64,83,0,16,1,0,5092,0,5,0,Home,1,11,4,Ashley McGrath,3
145,67,76,0,16,1,2,5092,0,13,19,Home,0,3,2,Matthew Leuenberger,2
146,69,74,0,14,1,0,5092,0,4,0,Home,2,10,6,Matthew Maguire,4
147,52,54,0,14,0,1,5092,0,2,0,Home,1,12,1,Andrew Raines,2
148,31,35,0,13,1,0,5092,0,9,0,Home,3,4,0,Joel Patfull,1
149,76,94,3,12,0,0,5092,1,3,0,Home,3,9,6,Brent Staker,4
150,46,51,0,9,1,1,5092,0,4,15,Home,3,5,2,Mitchell Clark,1
151,30,28,0,8,0,0,5092,0,3,0,Home,1,5,3,Jed Adcock,0
152,13,14,0,4,0,0,5092,0,2,0,Home,1,2,1,Amon Buchanan,0
153,25,45,0,3,1,0,5092,0,1,1,Home,0,2,1,Daniel Merrett,4
154,108,88,0,31,1,1,5092,0,15,1,Away,4,16,5,Adam Selwood,4
155,95,86,0,29,0,1,5092,0,18,0,Away,2,11,3,Matthew Priddis,4
156,77,89,0,27,2,2,5092,0,19,0,Away,2,8,1,Daniel Kerr,4
157,113,108,0,26,0,0,5092,0,14,0,Away,1,12,7,Sam Butler,7
158,83,110,2,25,1,1,5092,1,11,0,Away,5,14,3,Andrew Embley,1
159,76,76,0,24,2,0,5092,1,15,0,Away,3,9,5,Patrick McGinnity,1
160,72,78,0,21,1,2,5092,0,7,0,Away,0,14,3,Beau Waters,2
161,80,106,1,20,0,1,5092,0,4,0,Away,4,16,6,Shannon Hurn,1
162,95,75,1,20,1,0,5092,1,3,0,Away,2,17,6,Brad Ebert,4
163,54,66,1,18,0,0,5092,0,15,0,Away,0,3,2,Mitchell Brown,2
164,51,54,0,18,0,0,5092,0,9,0,Away,2,9,2,Chris Masten,0
165,85,83,0,18,0,0,5092,2,10,0,Away,2,8,3,Luke Shuey,5
166,69,58,1,17,1,0,5092,0,10,0,Away,4,7,10,Mark Nicoski,0
167,88,87,0,16,0,2,5092,2,4,0,Away,9,12,6,Quinten Lynch,3
168,78,77,0,16,2,0,5092,2,7,0,Away,5,9,9,Joshua Kennedy,1
